,,,,,,,,,,,,,,,,,,,,,,,0-120 seconds,121-300 seconds,301-600 seconds,601-1800 seconds,1801-3600 seconds,3601-65535 seconds,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,0-20m,21-40m,41-80m,81-200m,201-500m,501-4095m,51-70m,71-90m,91-110m,111-4095m,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
2020.07.10 08:45:59,2020.07.10 08:30:00,,,,2020.07.10 08:45:59,Resolved QFP,37.918847,16.047699,33S,4197328,592088,8,,1,0x531A8810,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 09:35:16,2020.07.10 09:30:00,,,,2020.07.10 09:35:16,Resolved QFP,37.918878,16.047498,33S,4197332,592070,9,,0.9,0x571A8200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 10:00:00,2020.07.10 08:00:00,,,,,,,,,,,,,,,,0.94922,13,499,,,9,,,,,,,0.06641,0.87109,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6,6,0,0,0,0,0,0,0,0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
2020.07.10 10:47:42,2020.07.10 10:30:00,,,,2020.07.10 10:47:42,Resolved QFP,37.919422,16.046648,33S,4197391,591995,18,,0.9,0x561AC200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 11:06:10,2020.07.10 11:00:00,,,,2020.07.10 11:06:10,Resolved QFP,37.919326,16.046588,33S,4197380,591989,5,,4.2,0x001A8280,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 11:35:52,2020.07.10 11:30:00,,,,2020.07.10 11:35:52,Resolved QFP,37.918992,16.045915,33S,4197343,591931,17,,1.2,0x061AC280,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 12:00:00,2020.07.10 10:00:00,,,,,,,,,,,,,,,,0.94922,15,507,,,7,,,,,,,0.57422,0.36328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,11,4,0,0,0,0,0,0,0,0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 12:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 12:15:03,2020.07.10 12:00:00,,,,2020.07.10 12:15:03,Resolved QFP,37.917318,16.046116,33S,4197157,591950,-642,,3.4,0x04188200,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
2020.07.10 14:00:00,2020.07.10 12:00:00,,,,,,,,,,,,,,,,0.98047,85,77,,,11,,,,,,,0.55078,0.36328,0.01172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,74,10,1,0,0,0,0,0,0,0,,,2020.07.10 17:33:15,1,,,,,Primary,,No,
