No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
47,2020.07.10 02:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,0.07422,12.0,44.0,,,3.0,,,,,,,0.06641,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
48,2020.07.10 02:00:00,2020.07.10 00:00:00,,,,,,,,,,,,,,,,7.422%,12.0,44.0,,,3.0,,,,,,,6.641%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
49,2020.07.10 04:00:00,2020.07.10 02:00:00,,,,,,,,,,,,,,,,0.74609,55.0,98.0,,,19.0,,,,,,,0.43359,0.14453,0.13672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
50,2020.07.10 04:00:00,2020.07.10 02:00:00,,,,,,,,,,,,,,,,74.609%,55.0,98.0,,,19.0,,,,,,,43.359%,14.453%,13.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 05:34:12,1,,,,,Primary,,No,
51,2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 05:34:12,1,No,,No,,,0 0 941 11 3 0 0 0,No,
52,2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2020.07.10 05:34:12,1,No,,No,,,0 0 941 11 3 0 0 0,No,
53,2020.07.10 06:00:00,2020.07.10 04:00:00,,,,,,,,,,,,,,,,0.96484,60.0,109.0,,,35.0,,,,,,,0.29297,0.55078,0.03516,0.02734,0.01953,0.00391,0.00391,0.00391,0.00391,0.00391,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
54,2020.07.10 06:00:00,2020.07.10 04:00:00,,,,,,,,,,,,,,,,96.484%,60.0,109.0,,,35.0,,,,,,,29.297%,55.078%,3.516%,2.734%,1.953%,0.391%,0.391%,0.391%,0.391%,0.391%,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
55,2020.07.10 08:00:00,2020.07.10 06:00:00,,,,,,,,,,,,,,,,92.578%,6.0,1023.0,,,9.0,,,,,,,2.734%,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
56,2020.07.10 08:00:00,2020.07.10 06:00:00,,,,,,,,,,,,,,,,0.92578,6.0,1023.0,,,9.0,,,,,,,0.02734,0.89453,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2020.07.10 14:17:20,1,,,,,Primary,,No,
